id;name;description;image;image_content_type;sort_order;user_id
1;Shoes Health Handcrafted Rubber Pants;Operative;../fake-data/blob/hipster.png;image/png;65495;2
2;Orchestrator Credit Card Account JBOD;deposit back up Health;../fake-data/blob/hipster.png;image/png;11249;1
3;Panama Berkshire;Global;../fake-data/blob/hipster.png;image/png;93355;2
4;Legacy hybrid;Pound Sterling;../fake-data/blob/hipster.png;image/png;92526;1
5;protocol Generic Facilitator;client-driven reboot Soft;../fake-data/blob/hipster.png;image/png;81735;2
6;rich;Street Money Market Account Bedfordshire;../fake-data/blob/hipster.png;image/png;61502;2
7;Practical invoice;logistical GB;../fake-data/blob/hipster.png;image/png;54550;1
8;regional 24/365;Mexico;../fake-data/blob/hipster.png;image/png;57188;2
9;channels Assurance;Awesome Jewelery;../fake-data/blob/hipster.png;image/png;79800;2
10;Georgia Malagasy Ariary back up;Berkshire;../fake-data/blob/hipster.png;image/png;374;1
